User_ID,Movie_ID,Movie,Genre,Release_Year,User_Rating,Search_History_Count,Watchlist_Status,User_Engagement_Minutes,Sentiment_Score
USR_3422,MOV_5204,Lubber Pandhu,Drama,2024,1.5,4,0,33,0.04
USR_4177,MOV_5045,Vettaiyan,Thriller,2024,3.5,11,1,79,0.41
USR_3208,MOV_5272,Meiyazhagan,Drama,2024,1,4,0,13,-0.16
USR_4110,MOV_5064,Naanum Rowdy Dhaan,Comedy,2015,5,16,1,148,0.75
USR_3561,MOV_5260,Tik Tik Tik,Sci-Fi,2018,3,3,0,56,0.05
USR_3846,MOV_5047,Meiyazhagan,Drama,2024,5,20,1,186,0.87
USR_3238,MOV_5113,Oh My Kadavule,Romance,2020,5,24,1,158,0.95
USR_3437,MOV_5006,Rajinimurugan,Comedy,2016,2.5,1,1,27,0.04
USR_4018,MOV_5192,SivaKartikeyan Next,Comedy,2025,4.5,19,0,155,0.82
USR_3918,MOV_5097,Sita Ramam (Tamil),Romance,2022,4.5,12,1,167,0.8
USR_4074,MOV_5253,Love Today,Comedy,2022,3.5,6,0,78,0.41
USR_3930,MOV_5144,Ratsasan,Thriller,2018,5,17,1,192,0.76
USR_3521,MOV_5056,Fun Unlimited,Comedy,2026,2,1,0,64,-0.22
USR_3584,MOV_5218,O Kadhal Kanmani,Romance,2015,2,4,0,6,-0.15
USR_3465,MOV_5093,Theri,Action,2016,4,7,0,72,0.65
USR_3522,MOV_5261,Love Today,Comedy,2022,4,5,1,83,0.65
USR_3429,MOV_5080,Thug Life,Action,2025,3,2,0,53,-0.36
USR_3812,MOV_5029,Mari Selvaraj Next,Drama,2026,4,8,0,124,0.34
USR_3234,MOV_5099,Ayalaan,Sci-Fi,2024,4.5,17,1,188,0.96
USR_3303,MOV_5085,Good Night,Comedy,2023,2.5,4,0,39,-0.22
USR_4185,MOV_5124,2,Sci-Fi,2018,2.5,4,0,17,-0.1
USR_3604,MOV_5212,Chitha,Thriller,2023,2,1,1,64,0.16
USR_4044,MOV_5248,Ayalaan,Sci-Fi,2024,5,21,1,138,0.95
USR_3400,MOV_5257,Joe,Romance,2023,2,1,0,24,0.13
USR_4064,MOV_5165,Amaran,Action,2024,2.5,3,0,49,-0.11
USR_4184,MOV_5074,Conjuring Kannappan,Comedy,2023,2.5,0,1,60,0.17
USR_3146,MOV_5260,Tik Tik Tik,Sci-Fi,2018,2,4,0,29,-0.01
USR_4061,MOV_5061,O Kadhal Kanmani,Romance,2015,5,16,1,157,0.97
USR_4174,MOV_5094,Sita Ramam (Tamil),Romance,2022,1.5,1,0,52,0.05
